,,
"key=
",gochi_sou_sama,ごちそうさま
"key=
",dishes,料理
"key=
",inFridgeFoods,冷蔵庫の食品に
"key=
",cartedFoods,Cartedフーズ
"key=
",errandFoods,おつかいフーズ
"key=
",addNewMarketItem,新しい市場の項目の追加
"key=
",editCustomItem,カスタム市場の項目を削除します。
"key=
",select,選択
"key=
",no_dishes,いいえ料理ません
"key=
",no_foods,いいえフーズありません
"key=
",msg_add_dishes,皿を調理＆追加してみましょう
"key=
",msg_add_foods,のは、食品を追加することから始めましょう
"key=
",signIn,サインイン
"key=
",account,アカウント
"key=
",userInfo,ユーザー情報
"key=
",groupInfo,グループ情報
"key=
",signOut,サインアウト
"key=
",deleteAccount,アカウントを削除する
"key=
",noFood,いいえフーズありません
"key=
",in_packed_list,パックされたリストインチ
"key=
",title,タイトル
"key=
",description,説明
"key=
",harvest,収穫
"key=
",name,名
"key=
",type,タイプ
"key=
",imageUrl,画像のURL
"key=
",settings,設定
"key=
",editAccount,アカウントの編集
"key=
",deleteAccount,アカウントを削除する
"key=
",displayName,表示名
"key=
",email,Eメール
"key=
",password,パスワード
"key=
",changeDisplayName,変更の表示名
"key=
",changeEmail,変更メール
"key=
",resetPassword,パスワードを再設定する
"key=
",receive_your_change_request,あなたの変更要求を受け取ります
"key=
",invitedMembers,招待メンバー
"key=
",manageGrouping,グループの管理
"key=
",groupOwner,グループオーナー
"key=
",addNewMember,新しいメンバーを追加します。
"key=
",requestToJoin,参加要求
"key=
",detailButton_addNewMember,その後、新しいメンバーにあなたのグループの情報QRを示し、最初の新メンバーのQRコードをキャプチャし、グループの所有者として新しいメンバーを追加します。
"key=
",detailButton_requestToJoin,その後、グループのQRをキャプチャし、グループの所有者にごQRを表示する最初の、新しいグループに参加。
"key=
",aboutThisApp,このアプリについて
"key=
",help,助けて
"key=
",terms,条項
"key=
",privacyPolicy,個人情報保護方針
"key=
",cancel,キャンセル
"key=
",skip,スキップ
"key=
",delete,削除
"key=
",undo,アンドゥ
"key=
",share,シェア
"key=
",msg_necessary_name,保存するための名前を設定してください
"key=
",msg_saving_data,新しいデータを保存しています...
"key=
",msg_mission_completed,ミッション完了！！
"key=
",msg_link_carted_foods,この食品を購入してください。
"key=
",msg_link_in_fridge_foods,で、冷蔵庫の食品をご確認ください。
"key=
",msg_change_displayname,入力新しい表示名を喜ば
"key=
",msg_change_email,入力新しいメールしてください
"key=
",msg_remove_joining_info,グループから脱退？あなたは再び他のグループに参加した場合の情報共有は＆してください再セットアップを削除されます
"key=
",msg_delete_account,この操作は元に戻すことはできません。あなたはそれを続ける場合は、電子メールの入力を喜ば
"key=
",requiresRecentLogin,あなたのログインが古すぎます。もう一度ログインしてください。
"key=
",msg_scan_barcode,バーコードをスキャン
"key=
",msg_show_qr_to_owner,グループ所有者には、このQRを表示
"key=
",msg_show_qr_to_member,新しいメンバーにこのQRを表示
"key=
",failed_generate_qr,QRの生成に失敗しました
"key=
",failed_of_limit_capacity,あなたの能力が限られていたので、更新に失敗しました。その後、もう一度試して不要な古いデータを削除してください。
"key=
",failed_save_photo,写真の保存に失敗しました
"key=
",connected_to_database,データベースに接続
"key=
",disconnected_network,外しネットワーク
"key=
",ticket,チケット
"key=
",rewared,報酬でチケットを入手
"key=
",footer_reward,使用して無料では、チケットによってデータを登録する必要があります。 \ nあなたは報酬として見た広告の後にチケットを取得することができます。
"key=
",please_wait,お待ちください...
"key=
",current_ticket,現在のチケット
"key=
",purchase,購入
"key=
",unlockAd,広告のロックを解除
"key=
",unlockPremium,プレミアム
"key=
",subscriptionBasic,購読
"key=
",restore,購入商品を復元する
"key=
",footer_unlockAd,広告のロックを解除し、チケットなしで使用することになります。
"key=
",footer_unlockPremium,広告のロックを解除し、チケットなしで使用することになります。 \アイテム数のNANDあなたの上限は％dにアップグレードされます。 \ nDefault制限は％dです。
"key=
",footer_subscriptionBasic,この製品は、チケットなしで使用するようになってロック解除の広告、あること、およびアイテム数のあなたの上限は％dにアップグレードされます。 \ nDefault制限は％dです。
"key=
",footer_restore,「iOSの\で、」ご購入の\を復元するだろう。 \ nCannotは、他のプラットフォームを復元します。
