,,
"key=
",bread,Bread
"key=
",corn,Corn
"key=
",macaroni,Macaroni
"key=
",pasta,Pasta
"key=
",penne,Penne
"key=
",potato,Potato
"key=
",ramen,Ramen
"key=
",rice,Rice
"key=
",taro,Taro
"key=
",udon,Udon
"key=
",cheese,Cheese
"key=
",egg,Egg
"key=
",firm_tofu,Firm Tofu
"key=
",milk,Milk
"key=
",natto,Natto
"key=
",tofu,Tofu
"key=
",yogurt,Yogurt
"key=
",coffee,Coffee
"key=
",juice,Juice
"key=
",tea,Tea
"key=
",atka_mackerel,Atka Mackerel
"key=
",clams_asari,Clams Asari
"key=
",clams_sijimi,Clams Sijimi
"key=
",finely_chopped_horse_mackerel,Finely Chopped Horse Mackerel
"key=
",pacific_saury,Pacific Saury
"key=
",salmon,Salmon
"key=
",sardine,Sardine
"key=
",sashimi_tuna,Sashimi Tuna
"key=
",sasimi_combination,Sasimi Combination
"key=
",yellowtail,Yellowtail
"key=
",apple,Apple
"key=
",banana,Banana
"key=
",grape,Grape
"key=
",grapefruit,Grapefruit
"key=
",kiwi,Kiwi
"key=
",mandarin_orange,Mandarin Orange
"key=
",melon,Melon
"key=
",orange,Orange
"key=
",peach,Peach
"key=
",pear,Pear
"key=
",persimmon,Persimmon
"key=
",pineapple,Pineapple
"key=
",strawberry,Strawberry
"key=
",watermelon,Watermelon
"key=
",cake,Cake
"key=
",fried_chicken,Fried Chicken
"key=
",grilled_chicken,Grilled Chicken
"key=
",gyoza,Gyoza
"key=
",konjac,Konjac
"key=
",potatochips,Potatochips
"key=
",seafood_mix,Seafood Mix
"key=
",bacon,Bacon
"key=
",chicken_breast_meat,Chicken Breast Meat
"key=
",chicken_thigh,Chicken Thigh
"key=
",ground_beef_and_pork,Ground Beef And Pork
"key=
",ham,Ham
"key=
",hashed_pork,Hashed Pork
"key=
",packed_beef,Packed Beef
"key=
",pork_ribs,Pork Ribs
"key=
",salami,Salami
"key=
",sausage,Sausage
"key=
",steak_beef,Steak Beef
"key=
",canora_oil,Canora Oil
"key=
",mayonnaise,Mayonnaise
"key=
",olive_oil,Olive Oil
"key=
",solt,Solt
"key=
",soy_source,Soy Source
"key=
",vinegar,Vinegar
"key=
",worcester_sauce,Worcester Sauce
"key=
",asparagus,Asparagus
"key=
",bean_sprouts,Bean Sprouts
"key=
",bitter_gourd,Bitter Gourd
"key=
",bok_choy,Bok Choy
"key=
",broccoli,Broccoli
"key=
",burdock_root,Burdock Root
"key=
",cabbage,Cabbage
"key=
",carrot,Carrot
"key=
",celery,Celery
"key=
",cucumber,Cucumber
"key=
",egg_plant,Egg Plant
"key=
",enoki_mushrooms,Enoki Mushrooms
"key=
",green_peas,Green Peas
"key=
",green_pepper,Green Pepper
"key=
",japanese_white_radish,Japanese White Radish
"key=
",leek,Leek
"key=
",lettuce,Lettuce
"key=
",mini_tomato,Mini Tomato
"key=
",onion,Onion
"key=
",pumpkin,Pumpkin
"key=
",shiitake,Shiitake
"key=
",shimeji,Shimeji
"key=
",shiso,Shiso
"key=
",tomato,Tomato
"key=
",mackerel,Mackerel
"key=
",miso,Miso
"key=
",japanese_mustard_spinach,Japanese mustard spinach
"key=
",spinach,Spinach
"key=
",dried_seaweed,Dried seaweed
