,,
"key=
",cannot_pay,Cannot pay
"key=
",fail_validation,Fail validation
"key=
",not_available,Not available
"key=
",restrict_in_app_purchase,Restrict this item
"key=
",comp_restore,Restore item
"key=
",thank_you_for_purchase,Thank you for purchase
"key=
",cannot_find_paid_history,Cannot find paid history
"key=
",upgrade,Upgrade
"key=
",timePeriod,Time period
"key=
",aboutThisService,About this service
"key=
",aboutAppStoreSubscription,About App Store Subscription
"key=
",description_timePeriod,- - - -
"key=
",description_aboutThisService,- - - -
"key=
",description_aboutAppStoreSubscription,"• Payment will be charged to iTunes Account at confirmation of purchase\n\n• Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period\n\n• Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal\n\n• Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase\n\n• Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable"
"key=
",valid_until,Valid until
